Time;Open;High;Low;Close;Volume;Marketcap
Dec 06, 2010;0.283;0.282;0.2763;0.2767;3122.51536;0
Dec 07, 2010;0.2767;0.2879;0.269;0.2879;17082.32025;0
Dec 08, 2010;0.2879;0.2845;0.276;0.2829;2424.885118;0
Dec 09, 2010;0.2829;0.283;0.2761;0.283;15081.27208;0
Dec 10, 2010;0.283;0.2825;0.278;0.28;1200;0
Dec 11, 2010;0.28;0.289;0.2761;0.2844;4071.729958;0
Dec 12, 2010;0.2844;0.2844;0.2826;0.283;1385.159011;0
Dec 13, 2010;0.283;0.2846;0.27;0.27;4755.555556;0
Dec 14, 2010;0.27;0.279;0.2151;0.2299;9038.712484;0
Dec 15, 2010;0.2299;0.2299;0.204;0.2082;3544.668588;0
Dec 16, 2010;0.2082;0.2299;0.2095;0.2275;18936.26374;0
Dec 17, 2010;0.2275;0.2553;0.218;0.255;415.6862745;0
Dec 18, 2010;0.255;0.2552;0.243;0.251;135.4581673;0
Dec 19, 2010;0.251;0.2589;0.205;0.205;1951.219512;0
Dec 20, 2010;0.205;0.235;0.19;0.19;16863.15789;0
Dec 21, 2010;0.19;0.225;0.1841;0.204;9049.019608;0
Dec 22, 2010;0.204;0.2477;0.1701;0.233;4892.703863;0
Dec 23, 2010;0.233;0.24;0.22;0.2388;10866.83417;0
Dec 24, 2010;0.2388;0.233;0.1701;0.2;5030;0
Dec 25, 2010;0.2;0.204;0.1825;0.204;686.2745098;0
Dec 26, 2010;0.204;0.228;0.1907;0.228;21828.94737;0
Dec 27, 2010;0.228;0.2279;0.2068;0.22;6736.363636;0
Dec 28, 2010;0.22;0.23;0.21;0.2299;20147.89039;0
Dec 29, 2010;0.2299;0.2468;0.21;0.2467;22630.72558;0
Dec 30, 2010;0.2467;0.246;0.238;0.238;3201.680672;0
Dec 31, 2010;0.238;0.255;0.2222;0.25;1740;0
Jan 01, 2011;0.25;0.249;0.24;0.24;3525;0
Jan 02, 2011;0.24;0.2488;0.241;0.241;6659.751037;0
Jan 03, 2011;0.241;0.2499;0.24;0.2401;1786.755519;0
Jan 04, 2011;0.2401;0.275;0.24;0.267;2112.359551;0
